no,name,category,status,start_time,end_time
1,Zero-Shot Prompting,Prompting,,,
2,Few-Shot Prompting,Prompting,,,
3,Role Prompting,Prompting,,,
4,System Prompting,Prompting,,,
5,Instruction Prompting,Prompting,,,
6,Structured Output Prompting,Prompting,,,
7,Prompt Templating,Prompting,,,
8,Prompt Chaining,Prompting,,,
9,Meta-Prompting,Prompting,,,
10,Chain-of-Thought,Reasoning,,,
11,Zero-Shot Chain-of-Thought,Reasoning,,,
12,Self-Consistency,Reasoning,,,
13,Tree-of-Thoughts,Reasoning,,,
14,Graph-of-Thoughts,Reasoning,,,
15,ReAct,Reasoning,,,
16,Self-Ask,Reasoning,,,
17,Least-to-Most Prompting,Reasoning,,,
18,Step-Back Prompting,Reasoning,,,
19,Skeleton-of-Thought,Reasoning,,,
20,Generated Knowledge Prompting,Reasoning,,,
21,Program-Aided Language Model,Reasoning,,,
22,Reflexion,Reasoning,,,
23,Self-Refine,Reasoning,,,
24,Naive RAG,Retrieval-Augmented Generation,,,
25,Document Chunking,Retrieval-Augmented Generation,,,
26,Hybrid Search,Retrieval-Augmented Generation,,,
27,Re-Ranking,Retrieval-Augmented Generation,,,
28,Query Rewriting,Retrieval-Augmented Generation,,,
29,Query Expansion,Retrieval-Augmented Generation,,,
30,Hypothetical Document Embeddings,Retrieval-Augmented Generation,,,
31,Sentence-Window Retrieval,Retrieval-Augmented Generation,,,
32,Parent-Document Retrieval,Retrieval-Augmented Generation,,,
33,Contextual Retrieval,Retrieval-Augmented Generation,,,
34,Self-RAG,Retrieval-Augmented Generation,,,
35,Corrective RAG,Retrieval-Augmented Generation,,,
36,GraphRAG,Retrieval-Augmented Generation,,,
37,Agentic RAG,Retrieval-Augmented Generation,,,
38,Tool Use and Function Calling,Agentic,,,
39,ReAct Agent,Agentic,,,
40,Plan-and-Execute,Agentic,,,
41,Reflection Agent,Agentic,,,
42,ReWOO,Agentic,,,
43,LLM Compiler,Agentic,,,
44,Router Agent,Agentic,,,
45,Multi-Agent Collaboration,Agentic,,,
46,Supervisor Agent,Agentic,,,
47,Hierarchical Agents,Agentic,,,
48,Autonomous Agent Loop,Agentic,,,
49,Human-in-the-Loop,Agentic,,,
50,Model Context Protocol,Agentic,,,
51,Augmented LLM,Agent Workflow,,,
52,Prompt Chaining Workflow,Agent Workflow,,,
53,Routing Workflow,Agent Workflow,,,
54,Parallelization Sectioning,Agent Workflow,,,
55,Parallelization Voting,Agent Workflow,,,
56,Orchestrator-Workers,Agent Workflow,,,
57,Evaluator-Optimizer,Agent Workflow,,,
58,Conversation Buffer Memory,Memory and Context,,,
59,Summarization Memory,Memory and Context,,,
60,Vector Store Memory,Memory and Context,,,
61,Sliding Window Context,Memory and Context,,,
62,Context Compression,Memory and Context,,,
63,Long-Term Episodic Memory,Memory and Context,,,
64,Scratchpad Working Memory,Memory and Context,,,
65,Supervised Fine-Tuning,Fine-Tuning and Alignment,,,
66,Instruction Tuning,Fine-Tuning and Alignment,,,
67,Reinforcement Learning from Human Feedback,Fine-Tuning and Alignment,,,
68,Reinforcement Learning from AI Feedback,Fine-Tuning and Alignment,,,
69,Direct Preference Optimization,Fine-Tuning and Alignment,,,
70,Low-Rank Adaptation,Fine-Tuning and Alignment,,,
71,QLoRA,Fine-Tuning and Alignment,,,
72,Prompt Tuning,Fine-Tuning and Alignment,,,
73,Prefix Tuning,Fine-Tuning and Alignment,,,
74,Constitutional AI,Fine-Tuning and Alignment,,,
75,Knowledge Distillation,Fine-Tuning and Alignment,,,
76,Retrieval-Augmented Fine-Tuning,Fine-Tuning and Alignment,,,
77,Transformer Overview,Model Architecture,,,
78,Self-Attention,Model Architecture,,,
79,Multi-Head Attention,Model Architecture,,,
80,Positional Encoding,Model Architecture,,,
81,Rotary Position Embedding,Model Architecture,,,
82,Encoder-Decoder Architecture,Model Architecture,,,
83,Decoder-Only Architecture,Model Architecture,,,
84,Encoder-Only Architecture,Model Architecture,,,
85,Mixture of Experts,Model Architecture,,,
86,Grouped-Query Attention,Model Architecture,,,
87,KV Cache,Model Architecture,,,
88,State Space Models,Model Architecture,,,
89,Greedy Decoding,Inference and Serving,,,
90,Beam Search,Inference and Serving,,,
91,Temperature Sampling,Inference and Serving,,,
92,Top-k Sampling,Inference and Serving,,,
93,Top-p Nucleus Sampling,Inference and Serving,,,
94,Speculative Decoding,Inference and Serving,,,
95,Quantization,Inference and Serving,,,
96,Prompt Caching,Inference and Serving,,,
97,Continuous Batching,Inference and Serving,,,
98,Model Cascade,Inference and Serving,,,
99,Input-Output Guardrails,Safety and Guardrails,,,
100,Prompt Injection Defense,Safety and Guardrails,,,
101,Jailbreak Mitigation,Safety and Guardrails,,,
102,Content Moderation,Safety and Guardrails,,,
103,Hallucination Grounding,Safety and Guardrails,,,
104,PII Redaction,Safety and Guardrails,,,
105,LLM-as-a-Judge,Evaluation,,,
106,Reference-Based Evaluation,Evaluation,,,
107,Rubric-Based Evaluation,Evaluation,,,
108,Red-Teaming,Evaluation,,,
109,Benchmarking,Evaluation,,,
